articulo,stock,compras_recomendadas,demanda_mensual,index_riesgo,riesgo,LT_meses,mean_margen,ultima_fecha,monto_usd,ultima_compra
hy043,8.0,220.7933482275059,36.79889137125098,0.2173978536280029,Rojo,6.0,0.8909901546396848,2024-01-22,5.46,1574.0
a-71260-s,92.0,53.12071537207817,8.853452562013029,10.391426322736377,Verde,6.0,0.7776599401603548,2024-08-29,36.47,508.0
675130,406.0,972.6439242089805,324.2146414029935,1.2522568328286836,Amarillo,3.0,0.6504582965642975,2024-05-04,6.291667,22056.0
fc-2205,107.0,324.1560522821778,54.02600871369631,1.9805275745434456,Verde,6.0,0.9558424919241938,2023-10-05,5.2,3108.0
54302-5m400,0.0,124.8212021715169,20.803533695252817,0.0,Rojo,6.0,0.7363595912304113,2024-02-29,9.9,5394.0
ca-18120,210.0,3357.757331990853,559.6262219984754,0.3752504649443894,Rojo,6.0,1.2211890599145179,2024-09-30,1.35,10020.0
fs-4301,158.0,311.5640795180504,51.927346586341734,3.0427127590139214,Verde,6.0,0.7677797675730705,2024-09-17,3.3,2975.0
hy017,24.0,346.4182244508903,57.73637074181505,0.41568251851719207,Rojo,6.0,1.1717507232593312,2024-01-22,4.62,4184.0
pcr5050500,117.0,242.6302814212974,60.65757035532435,1.9288606403888062,Verde,4.0,0.9042896407250623,2024-06-20,19.99,2556.0
48510-12750,0.0,236.6347633770787,39.43912722951312,0.0,Rojo,6.0,0.7271276702011942,2024-08-22,11.1,2586.0
a-8506-s,388.0,2524.296473034847,420.7160788391412,0.9222371559237459,Rojo,6.0,1.2988328724619065,2024-09-17,6.4,19354.0
48358,611.0,551.0901241632428,137.7725310408107,4.434846303426123,Verde,4.0,0.4338882891012643,2024-05-29,3.0859468313455585,20300.0
ef-65030-s,106.0,303.3816412135311,50.56360686892185,2.096369435724556,Verde,6.0,1.4266823532144517,2024-09-17,5.31,1400.0
sfc-1306-30,206.0,603.4986568736739,100.58310947894564,2.0480575821044837,Verde,6.0,0.7179895869364606,2024-08-29,5.33,11870.0
re001,0.0,232.8402191512211,38.806703191870184,0.0,Rojo,6.0,0.8962108565083818,2024-01-22,5.36,2594.0
to-2880,0.0,63.97093068962822,10.661821781604703,0.0,Rojo,6.0,0.7498495607596355,2024-06-21,9.92,6094.0
a-6038-s,570.0,1523.109748361987,253.8516247269978,2.2454061525625484,Verde,6.0,0.7089371595824483,2024-08-29,18.65,18144.0
a-5330-s,70.0,332.2628351601799,55.37713919336332,1.2640595202214628,Amarillo,6.0,0.7779107329384541,2024-09-26,15.42,3248.0
41602-58m00,0.0,181.7367970028227,30.289466167137117,0.0,Rojo,6.0,0.7297862786190464,2024-02-29,10.6,817.0
mwmwd976,1787.0,1196.927989683346,398.9759965611153,4.478966191958033,Verde,3.0,1.434955498561962,2024-07-20,6.6,12600.0
41700-65j00,117.0,193.9976270193297,32.332937836554954,3.61860096324814,Verde,6.0,0.7554885670032705,2024-09-19,6.2,2819.0
w-920/7,164.0,237.793841225943,59.44846030648575,2.7586921369283606,Verde,4.0,0.3132642426596592,2024-09-24,4.300238717794419,39874.0
b10300025,0.0,410.6632212423331,205.33161062116656,0.0,Rojo,2.0,0.4186926772035411,2024-06-12,3.73,17700.0
a-1840-s,48.0,166.5755873170541,27.762597886175683,1.7289448270221672,Verde,6.0,0.8696539078841022,2023-11-24,25.45,1390.0
26560143,263.0,818.2651236479418,136.3775206079903,1.9284703140774868,Verde,6.0,1.0266656192315922,2024-09-17,3.5,6600.0
48530-02130,48.0,101.1101159206443,16.85168598677405,2.848379683651388,Verde,6.0,0.736401368832028,2024-09-19,11.3,1245.0
eo-17030,1691.0,2785.194000025856,464.1990000043093,3.6428342154642768,Verde,6.0,1.5106433189914146,2024-09-30,0.95,27600.0
f-11112,780.0,1735.875829166702,289.31263819445036,2.6960453745396116,Verde,6.0,1.2926617139522103,2024-09-17,1.6,12200.0
hy038,0.0,253.0342519349501,42.17237532249168,0.0,Rojo,6.0,0.6435829690577727,2024-01-22,5.25,3096.0
884559,1785.0,981.6054352796816,327.20181175989387,5.455348765947123,Verde,3.0,0.4819530276779053,2024-08-07,5.708333,45792.0
n014,1.0,431.67692407296,71.94615401216,0.013899283620233332,Rojo,6.0,0.9647915079997907,2024-01-22,3.68,6349.0
c-65400,597.0,2305.417118424492,384.236186404082,1.553731848077851,Verde,6.0,0.8556463998439986,2024-09-17,1.1,24550.0
t1085,150.0,157.9084981816956,26.318083030282597,5.699503258934332,Verde,6.0,0.5987195609169225,2024-08-15,23.8,1239.0
a-1088,632.0,1929.56642420323,321.5944040338717,1.9652083247488197,Verde,6.0,0.6600842566259094,2024-09-30,7.12,22021.0
c-1160,6777.0,9802.200376828467,1633.7000628047444,4.148252273654941,Verde,6.0,0.9301655886176167,2024-09-30,1.3,56600.0
c-1534,3182.0,2290.911117334766,381.81851955579435,8.333802152137414,Verde,6.0,0.7049580340418872,2024-02-28,4.21,24132.0
di1540ci500,14.0,47.57972360355772,23.78986180177886,0.5884859742629176,Rojo,2.0,0.499336319477217,2024-06-12,48.02,6270.0
4853109450,51.0,137.9651711969774,22.994195199496232,2.2179510766750963,Verde,6.0,0.9915159026715806,2024-08-22,6.35,3612.0
c-1013,1375.0,1552.345911809208,258.724318634868,5.314537138429989,Verde,6.0,0.7459076252434237,2024-09-17,1.49,49550.0
rxfc113640bep,0.0,3680.918360335718,1840.459180167859,0.0,Rojo,2.0,0.3253135278653022,2024-10-09,1.52,48648.0
48006,3191.0,3095.553979443238,773.8884948608095,4.12333303982498,Verde,4.0,0.47011576464551363,2023-04-18,1.7844423140168193,69700.0
ca-1112,116.0,2266.530870794209,377.75514513236817,0.3070772205084136,Rojo,6.0,2.0751030078255654,2024-09-17,0.85,28680.0
b10300100,871.0,1032.776496187435,516.3882480937175,1.686715379785183,Verde,2.0,0.3662118174866786,2024-06-12,12.99,40383.0
icd976,1025.0,1240.970774950081,206.82846249168017,4.955797609534671,Verde,6.0,1.0694913332629097,2024-07-26,4.7,2900.0
sk-1043,0.0,344.9218395589523,57.48697325982538,0.0,Rojo,6.0,0.6065929307690778,2024-06-21,5.52,14970.0
by-002,21.0,171.1880989347904,28.531349822465064,0.7360324741265828,Rojo,6.0,0.571814863936635,2024-06-21,7.82,2160.0
eo-2626,674.0,749.1328730616287,124.85547884360479,5.398241280578957,Verde,6.0,1.2397896306661886,2024-09-17,2.08,10450.0
48702,8108.0,7475.932698334464,1868.983174583616,4.338187796584286,Verde,4.0,0.3704741384070293,2024-09-16,1.4518096600413324,199700.0
t1086,163.0,147.3120409638248,24.552006827304137,6.63896850251478,Verde,6.0,0.606114050243605,2024-08-15,23.8,1128.0
dttmlt265/70r17,0.0,171.8009345026964,28.633489083782734,0.0,Rojo,6.0,0.2165278089198839,2023-04-05,67.0,1857.0
