fuente_suministro,date,sku,LT_meses,ingreso_usd_sin_recomendacion,ingreso_usd_con_recomendacion
mann - brasil,2024-05-01,c-23610,4.0,1148.6829068339187,2084.994034599176
ito koyama - resortes,2024-05-01,k005,6.0,218.632071574015,506.0128581815494
ito koyama - amortiguadores,2024-05-01,4106961j00,6.0,1027.7204150409134,1279.1027094859949
mann - brasil,2024-05-01,cf-300/1,4.0,475.2830079130194,349.15906505925363
ito koyama - amortiguadores,2024-05-01,332152,6.0,1509.2183788231384,1525.079610142776
ito koyama - resortes,2024-05-01,sk014,6.0,344.6263792527762,469.96464264195805
sakura filter,2024-05-01,fs-18290,6.0,1667.1839034013567,1467.620435973125
sakura filter,2024-05-01,a-6117-s,6.0,673.2284699909824,950.9379973736998
sakura filter,2024-05-01,a-28650,6.0,1677.5494856503667,2080.62392189549
sakura filter,2024-05-01,a-5107-s,6.0,703.44741838679,948.0307552281074
ito koyama - palieres,2024-05-01,ato-001,6.0,1596.669514983823,1144.990075290534
sakura filter,2024-05-01,a-6709-s,6.0,781.3334576133919,1531.742467524047
narva,2024-05-01,18033,4.0,6046.273942284477,3511.4587983458296
rover - usa,2024-05-01,rov2050025,4.0,373.36771702158967,1181.616274791295
valvoline,2024-05-01,di1540ci500,2.0,917.8206558551308,1744.1401262274708
sakura filter,2024-05-01,a-61440,6.0,1306.80936873771,1641.946174053228
sakura filter,2024-05-01,a-6038-s,6.0,6662.858158429317,7355.110139592729
sakura filter,2024-05-01,a-7124,6.0,387.63536666073867,561.6582178188307
narva,2024-05-01,48005,4.0,1962.8614712192327,3840.4318188112024
ito koyama - palieres,2024-05-01,sk-1043,6.0,1041.548979473496,491.21907286260307
mann - brasil,2024-05-01,cf-2631,4.0,1115.716854221519,1497.2911546199555
narva,2024-05-01,48904,4.0,199.53575841604012,135.09174234016012
ito koyama - resortes,2024-05-01,t011,6.0,452.91927887360214,1334.6095523087329
sakura filter,2024-05-01,c-5710,6.0,1217.1841323693427,895.0594057909124
sakura filter,2024-05-01,c-1109,6.0,6789.040035436531,4972.213334881193
prextoline - lubricantes,2024-05-01,paw68a500,2.0,39896.63015162098,43464.060155719606
ito koyama - resortes,2024-05-01,t016,6.0,2909.9387244965355,4443.132003291522
sakura filter,2024-05-01,sfc-7939-30b,6.0,684.9416805429887,780.7631341689386
ito koyama - amortiguadores,2024-05-01,48510-09k60ref,6.0,1799.1478330205794,2118.205449486887
sakura filter,2024-05-01,a-6207-s,6.0,621.7937977714881,984.8572729698674
ito koyama - amortiguadores,2024-05-01,48540-0d570,6.0,791.5843682418962,1805.2062336991796
ito koyama - resortes,2024-05-01,hy049,6.0,307.085367436573,814.3978651545734
narva,2024-05-01,48328,4.0,13367.837869695055,20081.14063765622
sakura filter,2024-05-01,fs-4301,6.0,593.0352594660303,402.73375304281825
prestone - mexico,2024-05-01,afc11100/1f,3.0,10878.532576830064,10943.291680026234
ito koyama - resortes,2024-05-01,re001,6.0,457.56215158959156,550.673666428166
sakura filter,2024-05-01,c-6805,6.0,1036.4422896155897,1258.5777327299174
aisin - japon,2024-05-01,dtx-099l,6.0,3398.7128063726864,4130.400555180535
sakura filter,2024-05-01,c-1328,6.0,945.2369240622724,1350.4924945844818
ito koyama - trapecios,2024-05-01,t1085,6.0,769.860712566309,712.0460746708081
sakura filter,2024-05-01,a-5444-s,6.0,1548.146322915422,1659.0223026734068
ito koyama - direccion,2024-05-01,ety002,6.0,169.6224128011162,427.4570455705372
valvoline - usa,2024-05-01,884530,3.0,16968.94855139134,20163.708707547255
sakura filter,2024-05-01,wc-7101,6.0,521.4009009986491,400.8013243612635
sakura filter,2024-05-01,a-13530-s,6.0,764.3546786003417,951.3667738881866
ito koyama - amortiguadores,2024-05-01,54660-4h600,6.0,566.3024754063188,678.6631897734478
ito koyama - amortiguadores,2024-05-01,54661-2s000,6.0,555.5742934683178,537.5958606586952
ito koyama - resortes,2024-05-01,hy017,6.0,344.73190551141414,619.857766169871
narva,2024-05-01,17649,4.0,776.4640440095307,688.0286938632571
sakura filter,2024-05-01,a-1876,6.0,527.8868324336485,680.4143921121472
ito koyama - resortes,2024-05-01,hy009,6.0,2620.6478784047395,3985.6856797851824
aisin - japon,2024-05-01,dt-628,6.0,819.8475548517349,1787.748974478787
