fuente_suministro,date,sku,LT_meses,ingreso_usd_sin_recomendacion,ingreso_usd_con_recomendacion,tc
ito koyama - amortiguadores,2024-06-01,54660-b4000,6.0,415.6810791882607,497.1871731467432,3.746999808933834
ito koyama - amortiguadores,2024-07-01,54660-b4000,6.0,268.2952378542075,495.9396820941412,3.756425045317437
ito koyama - amortiguadores,2024-08-01,54660-b4000,6.0,151.39231421279834,425.5351534630007,3.732000149037844
ito koyama - amortiguadores,2024-09-01,54660-b4000,6.0,285.2713288546887,285.2713288546887,3.746999808933834
ito koyama - amortiguadores,2024-10-01,54660-b4000,6.0,,,3.715999990254402
ito koyama - resortes,2024-06-01,d004,6.0,504.1912396900431,504.1912396900431,3.746999808933834
ito koyama - resortes,2024-07-01,d004,6.0,443.75838948719917,443.75838948719917,3.756425045317437
ito koyama - resortes,2024-08-01,d004,6.0,307.70094625975906,307.70094625975906,3.732000149037844
ito koyama - resortes,2024-09-01,d004,6.0,252.09561984502156,252.09561984502156,3.746999808933834
ito koyama - resortes,2024-10-01,d004,6.0,,,3.715999990254402
ito koyama - amortiguadores,2024-06-01,54303-5m400,6.0,361.5689376608722,320.79036101064645,3.746999808933834
ito koyama - amortiguadores,2024-07-01,54303-5m400,6.0,274.9599297020472,314.8078361788911,3.756425045317437
ito koyama - amortiguadores,2024-08-01,54303-5m400,6.0,150.95970843961678,297.7528595677845,3.732000149037844
ito koyama - amortiguadores,2024-09-01,54303-5m400,6.0,204.05375689771998,232.69288067283853,3.746999808933834
ito koyama - amortiguadores,2024-10-01,54303-5m400,6.0,,,3.715999990254402
sakura filter,2024-06-01,ef-18050,6.0,1812.6151780081952,1812.6151780081952,3.746999808933834
sakura filter,2024-07-01,ef-18050,6.0,1266.144181995972,1266.144181995972,3.756425045317437
sakura filter,2024-08-01,ef-18050,6.0,1683.1159920255504,1683.1159920255504,3.732000149037844
sakura filter,2024-09-01,ef-18050,6.0,1993.7105532629096,1993.7105532629096,3.746999808933834
sakura filter,2024-10-01,ef-18050,6.0,,,3.715999990254402
ito koyama - amortiguadores,2024-06-01,48540-02120,6.0,281.94429996403915,281.94429996403915,3.746999808933834
ito koyama - amortiguadores,2024-07-01,48540-02120,6.0,221.58056759001718,221.58056759001718,3.756425045317437
ito koyama - amortiguadores,2024-08-01,48540-02120,6.0,257.3431735131003,257.3431735131003,3.732000149037844
ito koyama - amortiguadores,2024-09-01,48540-02120,6.0,277.67241663125066,277.67241663125066,3.746999808933834
ito koyama - amortiguadores,2024-10-01,48540-02120,6.0,,,3.715999990254402
valvoline - usa,2024-06-01,vx959,3.0,19464.27624031413,19464.27624031413,3.746999808933834
valvoline - usa,2024-07-01,vx959,3.0,13219.021940458631,13219.021940458631,3.756425045317437
valvoline - usa,2024-08-01,vx959,3.0,9563.354530918014,9563.354530918014,3.732000149037844
valvoline - usa,2024-09-01,vx959,3.0,11181.605499754925,11181.605499754925,3.746999808933834
valvoline - usa,2024-10-01,vx959,3.0,,,3.715999990254402
prextoline - lubricantes,2024-06-01,p00100500,2.0,15892.799707553339,15125.547187918533,3.746999808933834
prextoline - lubricantes,2024-07-01,p00100500,2.0,13141.84351798002,13263.376685121892,3.756425045317437
prextoline - lubricantes,2024-08-01,p00100500,2.0,13697.765752442365,11067.21046284906,3.732000149037844
prextoline - lubricantes,2024-09-01,p00100500,2.0,14939.231725100137,11851.823700214845,3.746999808933834
prextoline - lubricantes,2024-10-01,p00100500,2.0,,,3.715999990254402
mann - brasil,2024-06-01,w-1168/5,4.0,563.193247282363,563.193247282363,3.746999808933834
mann - brasil,2024-07-01,w-1168/5,4.0,542.2738856790089,542.2738856790089,3.756425045317437
mann - brasil,2024-08-01,w-1168/5,4.0,486.9211628873893,581.1639686075292,3.732000149037844
mann - brasil,2024-09-01,w-1168/5,4.0,524.0826051099767,715.7247517546696,3.746999808933834
mann - brasil,2024-10-01,w-1168/5,4.0,,,3.715999990254402
narva,2024-06-01,17177,4.0,4403.27383904651,4894.658815151651,3.746999808933834
narva,2024-07-01,17177,4.0,3551.8730281358157,3551.8730281358157,3.756425045317437
narva,2024-08-01,17177,4.0,3918.544200886592,3918.544200886592,3.732000149037844
narva,2024-09-01,17177,4.0,2757.206739898118,2757.206739898118,3.746999808933834
narva,2024-10-01,17177,4.0,,,3.715999990254402
sakura filter,2024-06-01,c-38090,6.0,449.6134640885601,449.6134640885601,3.746999808933834
sakura filter,2024-07-01,c-38090,6.0,582.1249111483871,582.1249111483871,3.756425045317437
sakura filter,2024-08-01,c-38090,6.0,711.3293532695828,711.3293532695828,3.732000149037844
sakura filter,2024-09-01,c-38090,6.0,778.8758494059399,457.95240050197833,3.746999808933834
